ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-02-27T12:21:30Z,10385,Потрачу,Egor Kreed,Что они знают?,spotify:track:6S1HT3w4F9rWrw8sqQuyR1,,,,,,,,playbtn,fwdbtn,False,False,False,,False
2021-02-27T12:21:32Z,1122,Я украду,DONI,Я украду,spotify:track:2HPmjDWDZSRG7l58m5AcyC,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-02-27T12:21:50Z,15799,Лондон (Adam Maniac Remix),Xcho,Glass Cage (Remix),spotify:track:7zlVLSD53JegBq6yBKFwhI,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-02-27T12:21:53Z,1973,Дай мне ответ,The Limba,Дай мне ответ,spotify:track:6ShBCZfveloHOEYWs2beps,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-02-27T12:21:56Z,1362,Неужели ты моя,Bahh Tee,10 лет спустя,spotify:track:5dbRw4agtEbUin6uShPYqo,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-02-27T12:22:03Z,5141,SnD,Jah Khalib,Все что мы любим,spotify:track:34ttji2fIHtqipyVsda1E5,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-02-27T12:22:06Z,1742,БАУНТИ,Gidayyat,БАУНТИ,spotify:track:1CFSNRaRkoxhS7UPd7FJCS,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-02-27T12:22:38Z,29750,Мне глаза ее нравятся,Dabro,Мне глаза ее нравятся,spotify:track:6utQesoRdu3AnwbDW11vxU,,,,,,,,fwdbtn,endplay,False,False,False,,False
2021-02-27T12:23:10Z,29181,Думаю о ней,SHAMI,Думаю о ней,spotify:track:1hVEV1d2WowQHtnYJNLpsx,,,,,,,,clickrow,fwdbtn,False,False,False,,False
2021-02-27T12:23:11Z,677,Ты не моя,Gafur,Калейдоскоп,spotify:track:1YUuiwxzEcHAuBUbxZsl7U,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-02-27T12:23:46Z,31863,Нирвана,ELMAN,Нирвана,spotify:track:2AZBPQaMHPbCzO3kJ4zT0t,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-02-27T12:25:07Z,80731,Ночной рейс,Andro,MOON FLAME,spotify:track:3JTmWb7MMwkfDvULuCHBcV,,,,,,,,fwdbtn,endplay,False,False,False,,False
2021-02-27T12:25:20Z,9171,For You,Jay Leemo,For You,spotify:track:1Aa1C4Zwz99zwCLDE3SvdX,,,,,,,,playbtn,endplay,True,False,False,,False
2021-02-27T12:26:18Z,56730,Улетай,Jay Leemo,For You,spotify:track:14Ob0AY6z2sgh6q66NFNn8,,,,,,,,clickrow,endplay,False,False,False,,False
2021-02-27T12:26:40Z,19233,My Love,Jay Leemo,For You,spotify:track:6ErmixVzcyh0juR8Tw9Xn7,,,,,,,,clickrow,endplay,False,False,False,,False
2021-02-27T12:27:25Z,43373,With You,Jay Leemo,For You,spotify:track:6Emt2NTvqPERYvybN3rTRy,,,,,,,,clickrow,endplay,False,False,False,,False
2021-02-27T12:28:05Z,38227,Когда исчезнет Слово,МОТ,Добрая Музыка Клавиш,spotify:track:2hxNNlZHxgda03EdP8in65,,,,,,,,clickrow,endplay,False,False,False,,False
